[00:00:02 - 00:00:03] 因為這有點麻煩
[00:12:45 - 00:12:48] 因為如果可以調整噴的時間的話
[00:12:48 - 00:12:49] 那噴油嘴呢
[00:12:49 - 00:12:50] 沒有那個會有一個值
[00:12:50 - 00:12:53] 就是如果你到時候都用Iris的電腦來寫的話
[00:12:53 - 00:12:54] 要先用這個
[00:12:54 - 00:12:56] 它會大概有一個
[00:12:56 - 00:12:58] 它會大概有一個我們噴油的時間
[00:12:58 - 00:13:00] 會大概有一個時間區間
[00:13:00 - 00:13:01] 是在那個時間
[00:13:01 - 00:13:03] 60秒內噴多少
[00:13:03 - 00:13:04] 沒有
[00:13:04 - 00:13:05] 對
[00:13:05 - 00:13:10] 就是你在現在這一張油圖寫完的狀況下
[00:13:10 - 00:13:11] 這一支噴油嘴的使用率加成
[00:13:11 - 00:13:14] 它單次的噴油毫秒時間
[00:13:14 - 00:13:17] 就是假設說你全油門到底的時候
[00:13:17 - 00:13:18] 你噴油的時間需要
[00:13:18 - 00:13:20] 可能要超過0.8毫秒以上
[00:13:20 - 00:13:23] 我們可能就會說你的噴油嘴要加大支
[00:13:23 - 00:13:24] 太小支
[00:13:24 - 00:13:25] 對就是噴油量不夠
[00:13:25 - 00:13:26] 太小支
[00:13:26 - 00:13:28] 的時候就是需要加大支
[00:13:28 - 00:13:30] 它有一個大概有一個值可以去參考
[00:13:30 - 00:13:31] 好了解了
[00:13:31 - 00:13:33] 因為你噴油的量是固定的
[00:13:33 - 00:13:35] 就是每分鐘噴多少cc嘛
[00:13:35 - 00:13:38] 那如果說你真的寫得很極端的話
[00:13:38 - 00:13:39] 那就代表你的動力更大
[00:13:39 - 00:13:40] 就代表需要更多燃油
[00:13:40 - 00:13:42] 那代表這支噴油嘴
[00:13:42 - 00:13:43] 假設它是150cc
[00:13:43 - 00:13:45] 在一分鐘內噴不夠
[00:13:45 - 00:13:46] 就要換價大噴油嘴
[00:13:46 - 00:13:47] 對
[00:13:47 - 00:13:48] 了解了
[00:13:48 - 00:13:49] 對
[00:13:49 - 00:13:50] 那是
[00:13:52 - 00:13:53] 因為我在吹那一台
[00:13:55 - 00:13:58] 那一台連輪胎都已經磨到剛試成了
[00:13:58 - 00:13:59] 還不壞
[00:13:59 - 00:14:00] 我常常遇到
[00:14:00 - 00:14:02] 我常常
[00:14:02 - 00:14:03] 因為我都要去南榜上班
[00:14:03 - 00:14:04] 我常常遇到
[00:14:06 - 00:14:07] 好啦
[00:14:07 - 00:14:08] 南榜要太多
[00:14:08 - 00:14:09] 沒有啦
[00:14:09 - 00:14:10] 欸
[00:14:10 - 00:14:13] 人家年輕人要追夢
[00:14:13 - 00:14:14] 好嗎
[00:14:14 - 00:14:16] 有的是夢想
[00:14:16 - 00:14:18] 我只能
[00:14:18 - 00:14:19] 好好賺錢
[00:14:19 - 00:14:20] 過水果類
[00:14:20 - 00:14:21] 完全賺錢
[00:14:21 - 00:14:22] 不是
[00:14:22 - 00:14:23] 我是覺得說
[00:14:23 - 00:14:25] 我是打算這樣子
[00:14:25 - 00:14:27] 如果真的有什麼疑惑
[00:14:27 - 00:14:28] 有什麼需要
[00:14:28 - 00:14:30] 你可以傳信息來問我
[00:14:30 - 00:14:31] 對
[00:14:31 - 00:14:32] 你問他
[00:14:32 - 00:14:33] 我們有時候
[00:14:33 - 00:14:34] 在做
[00:14:34 - 00:14:35] 因為我們是做二輪
[00:14:35 - 00:14:38] 所以有時候會有一些奇怪怪怪招啦
[00:14:38 - 00:14:40] 可能會有一些其他的小方法
[00:14:40 - 00:14:43] 可以把你的手東西幹上去還是怎麼樣的
[00:14:43 - 00:14:45] 我們可以來討論看看
[00:14:45 - 00:14:46] 我的需要就是這些經驗
[00:14:46 - 00:14:47] 太專業了
[00:14:47 - 00:14:48] 有一些
[00:14:48 - 00:14:50] 要問另外一個愛若嗎
[00:14:50 - 00:14:51] 沒有
[00:14:51 - 00:14:52] 那個
[00:14:52 - 00:14:53] 那個太極吧
[00:14:53 - 00:14:59] 因為我有一個朋友在改廠車的
[00:14:59 - 00:15:02] 汽車的廠車
[00:15:02 - 00:15:04] 但是有的是比較極端的
[00:15:04 - 00:15:06] 他在寫賽道ADS
[00:15:06 - 00:15:07] 對
[00:15:07 - 00:15:09] 汽車的廠車在改賽道ADS
[00:15:09 - 00:15:10] 就一個人做而已
[00:15:10 - 00:15:11] 不是
[00:15:11 - 00:15:14] 其實台南有蠻多
[00:15:14 - 00:15:15] 在改二輪
[00:15:15 - 00:15:16] 蠻厲害的
[00:15:16 - 00:15:17] 在調整電腦
[00:15:17 - 00:15:18] 蠻厲害的
[00:15:18 - 00:15:19] 就據我所知
[00:15:19 - 00:15:20] 有一個專門在調整電腦的
[00:15:20 - 00:15:21] 在
[00:15:21 - 00:15:22] 大距離
[00:15:22 - 00:15:23] 沒有
[00:15:23 - 00:15:24] 在啟美醫院附近而已
[00:15:24 - 00:15:26] 他是調一些東南亞的選手
[00:15:26 - 00:15:27] 有一些
[00:15:27 - 00:15:28] 在二輪方面有一些亞洲盃
[00:15:28 - 00:15:31] 或者是東南亞上面那邊在進行比賽
[00:15:31 - 00:15:32] 可能是那邊的比賽
[00:15:32 - 00:15:33] 可能水準太高了
[00:15:33 - 00:15:34] 就是每一個
[00:15:34 - 00:15:36] 比這邊所有人都還年輕人
[00:15:36 - 00:15:37] 就是比我們這邊死老人
[00:15:37 - 00:15:39] 騎了二三十年都會騎車
[00:15:39 - 00:15:40] 對
[00:15:40 - 00:15:41] 他們那邊競爭很高
[00:15:41 - 00:15:42] 所以車輛在調整上
[00:15:42 - 00:15:43] 然後像另外一個
[00:15:43 - 00:15:45] 像中國那邊現在嘛
[00:15:45 - 00:15:47] 他們後期就是以二輪來說
[00:15:47 - 00:15:49] 我就有一個認識一個
[00:15:49 - 00:15:51] 在地知名
[00:15:51 - 00:15:52] 也不算在地知名
[00:15:52 - 00:15:54] 在二輪界也算蠻有名的吧
[00:15:54 - 00:15:56] 他那時候去中國比賽
[00:15:56 - 00:15:58] 以二輪上來說
[00:15:58 - 00:16:00] 就是一台150c.c.的引擎
[00:16:00 - 00:16:03] 我們這邊準備的備品是三顆
[00:16:03 - 00:16:05] 然後可能就準備三顆電腦
[00:16:05 - 00:16:07] 然後或者是再多兩三顆引擎當備品
[00:16:07 - 00:16:09] 去中國那邊一次是20顆
[00:16:09 - 00:16:10] 他去看到
[00:16:10 - 00:16:12] 他去那邊說一次就是20顆
[00:16:12 - 00:16:13] 然後
[00:16:13 - 00:16:14] 然後呢
[00:16:14 - 00:16:15] 我們是不是會認為
[00:16:15 - 00:16:18] 噴射車就是會跑得比化合器的車還要快
[00:16:18 - 00:16:19] 他們那邊就是有辦法
[00:16:19 - 00:16:20] 把化合器的車調得比你還快
[00:16:20 - 00:16:21] 對
[00:16:21 - 00:16:22] 對
[00:16:22 - 00:16:23] 可是他去的時候
[00:16:23 - 00:16:24] 他就跟我說
[00:16:24 - 00:16:25] 他回來就跟我說
[00:16:25 - 00:16:27] 幹你們不知道到底在說什麼
[00:16:27 - 00:16:29] 那化合器一條把他捏捏了
[00:16:29 - 00:16:30] 對啊
[00:16:30 - 00:16:31] 差不多你
[00:16:31 - 00:16:32] 差不多我iPhone會比他多
[00:16:32 - 00:16:34] 用化合器的喔
[00:16:34 - 00:16:35] 還有我們大伯喔
[00:16:35 - 00:16:36] 他們也懂噴射
[00:16:36 - 00:16:38] 他們需要TPS訊號
[00:16:38 - 00:16:40] 當然也有電子化合器啦
[00:16:40 - 00:16:42] 但那個東西對於
[00:16:42 - 00:16:43] 這個來說
[00:16:43 - 00:16:44] 對你們來說
[00:16:44 - 00:16:45] 我來巴黎就說
[00:16:45 - 00:16:46] 大經濟惡夢一島
